date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:57	30/30	---M--	200	added ('OK')	text/plain	date:Tue,%2028%20May%202019%2011:45:09%20GMT	http://html.kodesolution.live/robots.txt		(from )
13:44:58	174724/174724	---M--	200	added ('OK')	text/html	etag:%222aa84-540f58c9fc780%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html	(from )
13:44:59	812/812	---M--	200	added ('OK')	image/png	etag:%2232c-524206b1a6a80%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/favicon.png	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/favicon.png	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:44:59	812/812	---M--	200	added ('OK')	image/png	etag:%2232c-524206add6180%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon.png	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon.png	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:44:59	1398/1398	---M--	200	added ('OK')	image/png	etag:%22576-524206add6180%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon-72x72.png	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon-72x72.png	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:44:59	2348/2348	---M--	200	added ('OK')	image/png	etag:%2292c-524206afbe600%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon-114x114.png	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon-114x114.png	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:45:00	3216/3216	---M--	200	added ('OK')	image/png	etag:%22c90-524206b1a6a80%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon-144x144.png	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/images/apple-touch-icon-144x144.png	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:45:01	29273/29273	---M--	200	added ('OK')	text/css	etag:%227259-526854ffc6480%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/css/jquery-ui.min.css	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/css/jquery-ui.min.css	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:45:03	121265/121265	---M--	200	added ('OK')	text/css	etag:%221d9b1-52bdd399e5d80%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/css/bootstrap.min.css	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/css/bootstrap.min.css	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
13:45:03	2403/2403	---M--	200	added ('OK')	text/css	etag:%22963-52bb2be27b680%22	http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/css/menuzord-skins/menuzord-boxed.css	C:/Users/Salma/Desktop/salma/salma1/html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/css/menuzord-skins/menuzord-boxed.css	(from http://html.kodesolution.live/html/health-beauty/medical/medinova-html/v3.2/demo/index-mp-layout1.html)
